id,plate_number,camera_id,detected_at,confidence,scenario_run_id,source,event_id
71,GJ01AB4473,1,2026-09-03 02:34:29.315596+00,0.9,,,c1fc9434-6aac-4973-9909-3d0cda67c8d4
73,GJ01AB12EF,2,2026-09-03 02:34:29.373259+00,,,,2c786934-45f8-4dc6-be13-91838e1c0c50
75,GJ01ABA9D1,1,2026-09-03 02:34:29.421711+00,,,,d4afaf51-9dfe-4974-95e3-97084f8f208a
76,GJ01ABA9D1,1,2026-09-03 02:34:29.433171+00,,,,b273aeed-9101-4875-881b-8259a16b5bc3
77,GJ01AB2054,1,2026-09-03 02:34:29.448448+00,,,,
78,GJ01AB2054,1,2026-09-03 02:34:29.458037+00,,,,
79,GJ01ABD25C,1,2026-09-03 02:34:29.469413+00,,,,f37f108e-6caa-431f-b52b-a89bbd9f39d3
80,GJ01SOD001,1,2026-09-03 02:38:11.502183+00,0.95,,,
81,GJ01SOD002,1,2026-09-03 02:38:11.544116+00,0.95,,,
82,GJ01SOD003,1,2026-09-03 02:38:11.575549+00,0.95,,,
83,GJ01ABF8B2,1,2026-09-03 02:38:11.62809+00,,,,
84,GJ01AB4F6F,1,2026-09-03 02:38:11.688663+00,,,,
85,GJ01AB7648,1,2026-09-03 02:38:11.753156+00,0.82,,,
86,GJ01ABE785,3,2026-09-03 02:38:11.792444+00,,,,
87,GJ01ABA2C7,5,2026-09-03 02:38:11.807606+00,,,,
88,GJ01AB47A4,9,2026-09-03 02:38:11.821543+00,,,,
89,GJ01AB9AD2,1,2026-09-03 02:38:11.836219+00,0.9,,,073905aa-0001-43b2-a6b9-587964f92fc8
91,GJ01AB1142,2,2026-09-03 02:38:11.88149+00,,,,f9501035-4aa0-4cfc-bde7-9a14fa4bc913
93,GJ01AB7148,1,2026-09-03 02:38:11.925394+00,,,,146112df-36cc-4fa2-8f5a-13a8f0a394a7
94,GJ01AB7148,1,2026-09-03 02:38:11.932624+00,,,,5aa0234f-d26b-4957-b11a-8cad1d1ae28e
95,GJ01AB4F0A,1,2026-09-03 02:38:11.940786+00,,,,
96,GJ01AB4F0A,1,2026-09-03 02:38:11.947806+00,,,,
97,GJ01AB266F,1,2026-09-03 02:38:11.956481+00,,,,2dc23ee7-0f30-4a38-8af6-00b423af32d6
